"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-07","4.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-08","1.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-09","0.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-10","4.84"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-11","5.17"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1948-12","1.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-01","3.21"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-02","3.25"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-03","1.66"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-04","3.24"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-05","2.53"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-06","0.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-07","1.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-08","2.12"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-09","6.47"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-10","1.61"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-11","3.71"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1949-12","1.64"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1950-01","3.86"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1950-02","3.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1950-03","3.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1950-04","2.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1950-05","1.55"
