"STATION","NAME","DATE","PRCP"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-01","2.06"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-02","1.91"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-03","3.67"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-04","6.03"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-05","3.17"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-06","6.06"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-07","2.84"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-08","2.90"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-09","1.27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-10","3.15"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-11","2.69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1948-12","3.24"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-01","3.96"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-02","2.63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-03","3.16"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-04","2.56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-05","2.26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-06","3.04"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-07","5.04"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-08","1.51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-09","1.80"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-10","1.80"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-11","1.93"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1949-12","3.43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-01","5.68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-02","3.74"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-03","3.89"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-04","2.30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-05","4.61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-06","5.87"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-07","4.09"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-08","2.63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1950-09","3.53"
